1, 36, 10, 100, 100, 100, 7814.444, 0.581, 68.519, 0.013, 0.002, 0.346
2, 36, 10, 100, 100, 100, 5003.333, 3.495, 57.272, 0.035, 0.006, 0.127
3, 36, 10, 100, 100, 100, 8513.333, 1.911, 67.029, 0.032, 0.008, 0.528
4, 36, 10, 100, 100, 100, 17411.022, 0.512, 93.569, 0.032, 0.015, 0.000
1, 36, 20, 100, 100, 100, 9384.444, 0.693, 69.480, 0.019, 0.008, 0.290
2, 36, 20, 100, 100, 100, 5977.778, 4.268, 64.268, 0.019, 0.024, 0.169
3, 36, 20, 100, 100, 100, 9102.222, 2.328, 56.320, 0.048, 0.008, 0.493
4, 36, 20, 100, 100, 100, 15868.267, 0.885, 90.994, 0.211, 0.007, 0.000
1, 36, 5, 100, 100, 100, 8910.000, 0.390, 80.151, 0.003, 0.003, 0.395
2, 36, 5, 100, 100, 100, 6802.222, 2.634, 67.335, 0.013, 0.029, 0.285
3, 36, 5, 100, 100, 100, 12135.556, 1.147, 73.862, 0.015, 0.006, 0.672
4, 36, 5, 100, 100, 100, 16506.044, 0.257, 92.514, 0.044, 0.008, 0.000
1, 36, 30, 100, 100, 100, 6516.667, 1.239, 68.284, 0.069, 0.005, 0.258
2, 36, 30, 100, 100, 100, 6033.333, 5.103, 59.026, 0.048, 0.005, 0.180
3, 36, 30, 100, 100, 100, 8766.667, 3.022, 59.688, 0.090, 0.005, 0.523
4, 36, 30, 100, 100, 100, 15561.200, 1.101, 87.441, 0.067, 0.178, 0.000
1, 36, 10, 100, 100, 40, 8491.111, 0.456, 85.087, 0.007, 0.001, 0.255
2, 36, 10, 100, 100, 40, 6292.222, 2.615, 70.634, 0.019, 0.001, 0.057
3, 36, 10, 100, 100, 40, 8210.000, 2.187, 75.979, 0.005, 0.002, 0.386
4, 36, 10, 100, 100, 40, 12650.756, 0.336, 90.882, 0.162, 0.006, 0.000
1, 36, 20, 100, 100, 40, 9671.111, 0.584, 80.772, 0.014, 0.001, 0.284
2, 36, 20, 100, 100, 40, 5615.556, 3.726, 69.149, 0.010, 0.064, 0.045
3, 36, 20, 100, 100, 40, 7733.333, 3.353, 71.840, 0.005, 0.001, 0.300
4, 36, 20, 100, 100, 40, 9211.911, 0.519, 74.015, 0.198, 0.005, 0.000
